tokens,frequency,relative_frequency
showed,5,0.00037690336197798886
either,4,0.00030152268958239106
improvement,4,0.00030152268958239106
heading,4,0.00030152268958239106
quirky,4,0.00030152268958239106
vesuvio,4,0.00030152268958239106
doors,4,0.00030152268958239106
stuff,4,0.00030152268958239106
certainly,4,0.00030152268958239106
departure,4,0.00030152268958239106
done,4,0.00030152268958239106
style,4,0.00030152268958239106
welcomed,4,0.00030152268958239106
note,4,0.00030152268958239106
bright,4,0.00030152268958239106
request,4,0.00030152268958239106
employees,4,0.00030152268958239106
conveniently,4,0.00030152268958239106
dirty,4,0.00030152268958239106
mrs,4,0.00030152268958239106
plunge,4,0.00030152268958239106
knew,4,0.00030152268958239106
choose,4,0.00030152268958239106
greeted,4,0.00030152268958239106
waiting,4,0.00030152268958239106
awesome,4,0.00030152268958239106
touch,4,0.00030152268958239106
tell,4,0.00030152268958239106
experienced,4,0.00030152268958239106
automatic,4,0.00030152268958239106
credit,4,0.00030152268958239106
priced,4,0.00030152268958239106
turns,4,0.00030152268958239106
please,4,0.00030152268958239106
typical,4,0.00030152268958239106
whole,4,0.00030152268958239106
brand,4,0.00030152268958239106
weekend,4,0.00030152268958239106
based,4,0.00030152268958239106
private,4,0.00030152268958239106
hand,4,0.00030152268958239106
job,4,0.00030152268958239106
charge,4,0.00030152268958239106
trouble,4,0.00030152268958239106
gracious,4,0.00030152268958239106
complimentary,4,0.00030152268958239106
worst,4,0.00030152268958239106
proximity,4,0.00030152268958239106
king,4,0.00030152268958239106
exceeded,4,0.00030152268958239106
bonus,4,0.00030152268958239106
bring,4,0.00030152268958239106
disappointment,4,0.00030152268958239106
facility,4,0.00030152268958239106
particularly,4,0.00030152268958239106
saw,4,0.00030152268958239106
region,4,0.00030152268958239106
proofing,4,0.00030152268958239106
sound,4,0.00030152268958239106
tour,4,0.00030152268958239106
explore,4,0.00030152268958239106
prior,4,0.00030152268958239106
architecture,4,0.00030152268958239106
let,4,0.00030152268958239106
features,4,0.00030152268958239106
leaving,4,0.00030152268958239106
hard,4,0.00030152268958239106
encountered,4,0.00030152268958239106
buildings,4,0.00030152268958239106
difficult,4,0.00030152268958239106
pictures,4,0.00030152268958239106
name,4,0.00030152268958239106
